wiktionary-cldr-merge	bod	http://wiktionary.org/	CC BY-SA
09030752-n	bod:lemma	སུ་རི་ནཱམ།	
08738272-n	bod:lemma	ཨེལ།	
08720037-n	bod:lemma	ཅཻཌ།	
09039411-n	bod:lemma	ཏུརཀི།	
08840374-n	bod:lemma	ཐུ་ཝ་ལུ།	
08840200-n	bod:lemma	ཐུ་ཝ་ལུ།	
09014979-n	bod:lemma	ཡུ་ཀྲན།	
09043052-n	bod:lemma	ཡུ་གན་ཌ།	
09044862-n	bod:lemma	ཨ་མེ་རི་ཀ་	
09160295-n	bod:lemma	ཨུ་རུ་གྷེ།	
09022265-n	bod:lemma	ཨུཛ་བེ་ཀིསྟཱན།	
09161452-n	bod:lemma	ཝེ་ཊི་ཀན།	
08989031-n	bod:lemma	སེནྚ།	
09161803-n	bod:lemma	ཝེ་ནི་ཛུའེ་ལ།	
09163192-n	bod:lemma	བི་དི་ནམ།	
09160775-n	bod:lemma	ཝ་ནུ་ཨ་ཐུ།	
08991182-n	bod:lemma	ནུ་བ་ས་མོ་འ།	
08991491-n	bod:lemma	ནུ་བ་ས་མོ་འ།	
09164561-n	bod:lemma	ཡེ་མེན།	
08999482-n	bod:lemma	ལྷོ་	
09165613-n	bod:lemma	ཛམ་བི་ཡ།	
09167101-n	bod:lemma	ཛིམ་བྷཱ་བེ།	
08632096-n	bod:lemma	མིའི་ཤེས་རྟོགས་མ་བྱུང་བའི་ཁོར་ཡུག	
15210045-n	bod:lemma	ཟླ་༡	
15210486-n	bod:lemma	ཟླ་༢	
15210870-n	bod:lemma	ཟླ་༣	
15211189-n	bod:lemma	ཟླ་༤	
15211484-n	bod:lemma	ཟླ་༥	
15211806-n	bod:lemma	ཟླ་༦	
15212167-n	bod:lemma	ཟླ་༧	
15212455-n	bod:lemma	ཟླ་༨	
15212739-n	bod:lemma	ཟླ་༩	
15213115-n	bod:lemma	ཟླ་༡༠	
15213406-n	bod:lemma	ཟླ་༡༡	
15213774-n	bod:lemma	ཟླ་༡༢	
15210045-n	bod:lemma	ཟླ་བ་དང་པོ་	
15210486-n	bod:lemma	ཟླ་བ་གཉིས་པ་	
15210870-n	bod:lemma	ཟླ་བ་སུམ་པ་	
15211189-n	bod:lemma	ཟླ་བ་བཞི་པ་	
15211484-n	bod:lemma	ཟླ་བ་ལྔ་པ་	
15211806-n	bod:lemma	ཟླ་བ་དྲུག་པ་	
15212167-n	bod:lemma	ཟླ་བ་བདུན་པ་	
15212455-n	bod:lemma	ཟླ་བ་བརྒྱད་པ་	
15212739-n	bod:lemma	ཟླ་བ་དགུ་པ་	
15213115-n	bod:lemma	ཟླ་བ་བཅུ་པ་	
15213406-n	bod:lemma	ཟླ་བ་བཅུ་གཅིག་པ་	
15213774-n	bod:lemma	ཟླ་བ་བཅུ་གཉིས་པ་	
15163797-n	bod:lemma	ཉི་མ་	
15163979-n	bod:lemma	ཟླ་བ་	
15164105-n	bod:lemma	མིག་དམར་	
15164233-n	bod:lemma	ཧླག་པ་	
15164354-n	bod:lemma	ཕུར་བུ་	
15164463-n	bod:lemma	སངས་	
15164570-n	bod:lemma	སྤེན་པ་	
15164233-n	bod:lemma	ཧླག	
15163797-n	bod:lemma	གཟའ་ཉི་མ་	
15163979-n	bod:lemma	གཟའ་ཟླ་བ་	
15164105-n	bod:lemma	གཟའ་མིག་དམར་	
15164233-n	bod:lemma	གཟའ་ཧླག་པ་	
15164354-n	bod:lemma	གཟའ་ཕུར་བུ་	
